year,month,admdong_cd,spop
2018,4,36110520,65476808.3900001
2018,4,36110530,2314271.0600000154
2018,4,36110555,704114.2900000002
2018,4,36110560,1401892.059999991
2018,4,44131320,19665.360000000026
2018,5,36110250,32774501.619999956
2018,5,36110310,12430793.02999996
2018,5,36110320,3489112.1100000003
2018,5,36110330,5062764.28999999
2018,5,36110340,10709029.110000027
2018,5,36110350,16243644.599999968
2018,5,36110360,7381709.880000007
2018,5,36110370,5848791.709999958
2018,5,36110380,2214752.200000007
2018,5,36110390,1417502.6800000097
2018,5,36110510,12380781.950000098
2018,5,36110515,14764275.980000049
2018,5,36110520,65164123.20999971
2018,5,36110530,2341335.0199999996
2018,5,36110555,716359.4299999984
2018,5,36110560,1458395.7800000028
2018,5,44131320,18445.80999999988
2018,6,36110250,30758664.47000007
2018,6,36110310,12284660.459999997
2018,6,36110320,3299060.84999998
2018,6,36110330,4910373.04999999
2018,6,36110340,10221307.540000001
2018,6,36110350,15516409.680000043
2018,6,36110360,7109064.130000019
2018,6,36110370,5573265.510000034
2018,6,36110380,2097138.0600000017
2018,6,36110390,1327334.3299999998
2018,6,36110510,12058618.479999932
2018,6,36110515,16152598.900000058
2018,6,36110520,64629990.19999988
2018,6,36110530,2305303.440000014
2018,6,36110555,691541.1000000024
2018,6,36110560,1476898.6000000103
2018,6,44131320,16519.3899999999
2018,7,36110250,28091261.01000009
2018,7,36110310,12290782.219999926
2018,7,36110320,3380374.6100000124
2018,7,36110330,5079123.999999993
2018,7,36110340,10129594.160000017
2018,7,36110350,14846393.370000057
2018,7,36110360,7316473.910000041
2018,7,36110370,5632145.000000021
2018,7,36110380,2160352.1599999946
2018,7,36110390,1382849.0800000033
2018,7,36110510,12223188.07999996
2018,7,36110515,18825738.36
2018,7,36110520,66874166.680000104
2018,7,36110530,2270513.4000000227
2018,7,36110555,712600.1399999978
2018,7,36110560,1451214.9399999757
2018,7,44131320,14903.869999999986
2018,8,36110250,27386036.21000005
2018,8,36110310,12139680.509999972
2018,8,36110320,3324398.910000015
2018,8,36110330,5182583.059999978
2018,8,36110340,9848538.359999958
2018,8,36110350,14742059.110000066
2018,8,36110360,7306278.750000011
2018,8,36110370,5673626.16000001
2018,8,36110380,2342983.060000016
2018,8,36110390,1379977.460000002
2018,8,36110510,12310490.010000005
2018,8,36110515,19449147.919999965
2018,8,36110520,67191714.06999986
2018,8,36110530,2291587.679999985
2018,8,36110555,691684.0699999953
2018,8,36110560,1413432.4699999804
2018,8,44131320,8775.30999999998
