year,month,new_hd_cd,upjong_code,revenue,customer_count,payment_count
2017,1,36110340,1207,230863.31,17.76,17.76
2017,1,36110340,2002,7547454.35,186.47,186.47
2017,1,36110340,2003,17437549.74,1607.16,1651.56
2017,1,36110340,2004,624574.05,17.76,17.76
2017,1,36110340,2104,636834894.6,18620.01,18921.91
2017,1,36110340,2109,265799294.9,9181.26,9225.65
2017,1,36110340,2110,372933.04,35.52,35.52
2017,1,36110340,2112,1172075.26,71.03,71.03
2017,1,36110340,2199,35368259.03,2033.37,2113.29
2017,1,36110340,2299,2486220.26,26.64,26.64
2017,1,36110340,2312,1509490.87,8.88,8.88
2017,1,36110340,2402,134641702.0,2317.51,2415.19
2017,1,36110340,2406,106600955.6,1545.01,1633.8
2017,1,36110340,2499,7456884.9,168.71,186.47
2017,1,36110340,3001,13052656.35,17.76,17.76
2017,1,36110340,3101,887935.81,8.88,8.88
2017,1,36110340,3201,5500762.32,186.47,186.47
2017,1,36110340,3203,23127531.18,328.54,346.29
2017,1,36110340,3204,1465094.08,8.88,8.88
2017,1,36110340,3303,12509239.64,150.95,150.95
2017,1,36110340,3401,55121101.39,532.76,550.52
2017,1,36110340,3403,67713052.25,2006.73,2139.93
2017,1,36110340,3405,1420697.29,17.76,17.76
2017,1,36110340,3406,3906917.55,62.16,88.79
2017,1,36110340,3499,56274458.97,674.83,719.23
2017,1,36110340,4101,171414941.9,8586.34,8950.39
2017,1,36110340,4108,173290351.1,5034.6,5274.34
2017,1,36110340,4110,8429174.61,541.64,541.64
2017,1,36110340,4112,88402800.07,10646.35,10903.85
2017,1,36110340,4200,1030005.54,44.4,53.28
2017,1,36110340,4202,35520983.99,1704.84,1917.94
2017,1,36110340,5103,52876577.26,648.19,648.19
2017,1,36110340,5502,9492033.77,53.28,53.28
2017,1,36110340,5605,192560280.7,1358.54,1385.18
2017,1,36110340,5608,582832405.8,9918.24,10033.67
2017,1,36110340,5611,6748312.13,168.71,168.71
2017,1,36110340,6002,781383.51,17.76,17.76
2017,1,36110340,6009,6082360.27,35.52,35.52
2017,1,36110340,6011,306337.85,26.64,26.64
2017,1,36110340,6101,24220757.75,372.93,372.93
2017,1,36110340,6102,710348.64,26.64,35.52
2017,1,36110340,6103,2752601.0,35.52,35.52
2017,1,36110340,6114,8380959.69,577.16,586.04
2017,1,36110340,6203,6126757.06,62.16,62.16
2017,1,36110340,6299,6837105.71,35.52,35.52
2017,1,36110340,7003,94194894.13,1900.18,1944.58
2017,1,36110340,7005,16816687.27,1340.78,1394.06
2017,1,36110340,7007,710348.64,8.88,17.76
2017,1,36110340,7102,4226574.44,239.74,248.62
2017,1,36110340,7105,827556.17,71.03,71.03
2017,1,36110340,7106,1536128.94,26.64,26.64
2017,1,36110340,7199,1687078.03,44.4,44.4
2017,1,36110340,8102,976729.39,8.88,8.88
2017,1,36110340,8106,1509490.87,8.88,8.88
2017,1,36110340,8202,15012330.68,790.26,825.78
2017,1,36110340,8205,9108001.53,603.8,639.31
2017,1,36110340,8299,6925899.29,44.4,53.28
2017,1,36110340,8406,2193201.44,142.07,142.07
2017,1,36110340,9001,3724890.71,35.52,35.52
2017,1,36110340,9003,41554862.97,1038.88,1109.92
2017,1,36110340,9011,151697972.1,497.24,577.16
2017,1,36110350,1004,37826065.34,142.07,150.95
2017,1,36110350,2002,2383219.7,204.23,213.1
2017,1,36110350,2004,19688200.63,3001.22,3072.26
2017,1,36110350,2104,725254423.4,20875.37,21008.56
2017,1,36110350,2107,6295464.87,124.31,124.31
2017,1,36110350,2109,133917590.4,4226.57,4226.57
2017,1,36110350,2110,13565883.25,461.73,479.49
2017,1,36110350,2112,275260.1,8.88,8.88
2017,1,36110350,2199,64476570.63,3462.95,3560.62
2017,1,36110350,2402,147773979.6,1349.66,1447.34
2017,1,36110350,2406,4750456.56,71.03,71.03
2017,1,36110350,2499,16793174.73,2344.15,2379.67
2017,1,36110350,3001,4617266.19,26.64,26.64
2017,1,36110350,3303,4950242.12,115.43,115.43
2017,1,36110350,3401,18680837.46,106.55,115.43
2017,1,36110350,3403,113909644.0,2131.05,2228.72
2017,1,36110350,3406,2351254.01,71.03,71.03
2017,1,36110350,3408,12600785.82,26.64,26.64
2017,1,36110350,4101,124918982.5,4368.64,4581.75
2017,1,36110350,4108,194696352.3,4519.59,4661.66
2017,1,36110350,4110,41293543.46,6650.64,6961.42
2017,1,36110350,4112,197700771.9,24391.6,25661.34
2017,1,36110350,4199,32531304.13,967.85,1012.25
2017,1,36110350,4200,887935.81,8.88,8.88
2017,1,36110350,5104,6437534.6,35.52,35.52
2017,1,36110350,5401,443967.9,17.76,17.76
2017,1,36110350,5605,122467453.9,852.42,896.82
2017,1,36110350,5608,473527410.4,6224.43,6402.02
2017,1,36110350,5611,870177.09,35.52,35.52
2017,1,36110350,6001,9563068.63,71.03,71.03
2017,1,36110350,6002,8848280.31,310.78,310.78
2017,1,36110350,6005,9376602.11,230.86,230.86
2017,1,36110350,6203,6597363.04,71.03,71.03
2017,1,36110350,6204,73609611.95,1420.7,1465.09
2017,1,36110350,6205,19737925.04,346.29,355.17
2017,1,36110350,7002,20955285.03,53.28,53.28
2017,1,36110350,7003,9539094.37,559.4,559.4
2017,1,36110350,7005,10823937.48,701.47,736.99
2017,1,36110350,7102,417329.83,26.64,26.64
2017,1,36110350,8113,73957061.24,390.69,399.57
2017,1,36110350,8304,1598284.45,44.4,44.4
2017,1,36110350,9001,2329499.59,71.03,79.91
2017,1,36110350,9003,32399889.63,230.86,239.74
2017,1,36110350,9011,184237800.4,639.31,728.11
2017,1,36110360,1008,2681566.13,88.79,88.79
2017,1,36110360,2002,97672.94,8.88,8.88
2017,1,36110360,2003,874616.77,88.79,88.79
2017,1,36110360,2004,13541021.04,976.73,1012.25
2017,1,36110360,2104,545709559.0,12608.69,12804.03
2017,1,36110360,2107,7773877.98,364.05,364.05
2017,1,36110360,2109,59442862.55,2663.81,2663.81
2017,1,36110360,2110,33040091.35,1971.22,2042.25
2017,1,36110360,2112,4484075.82,195.35,195.35
2017,1,36110360,2199,23397996.43,515.0,523.88
2017,1,36110360,2401,950091.31,35.52,35.52
2017,1,36110360,2402,23283452.71,284.14,293.02
2017,1,36110360,2406,54998743.84,710.35,745.87
