id,h_dng_cd,year,month,sex,age,population
283,36110550,2017,12,M,60,12043.09935
284,36110550,2017,12,M,65,7434.169452
285,36110550,2017,12,M,70,5509.056415
286,36110550,2017,12,M,75,3220.891806
287,36110550,2018,1,F,15,15783.14678
288,36110550,2018,1,F,20,11281.82107
289,36110550,2018,1,F,25,17473.21349
290,36110550,2018,1,F,30,28195.51974
291,36110550,2018,1,F,35,41428.5094
292,36110550,2018,1,F,40,33503.15733
293,36110550,2018,1,F,45,24717.4308
294,36110550,2018,1,F,50,17784.53174
295,36110550,2018,1,F,55,16986.21981
296,36110550,2018,1,F,60,13285.30328
297,36110550,2018,1,F,65,8615.511066
298,36110550,2018,1,F,70,6423.184666
299,36110550,2018,1,F,75,5306.870609
300,36110550,2018,1,M,15,15095.00812
301,36110550,2018,1,M,20,12133.09457
302,36110550,2018,1,M,25,12466.85509
303,36110550,2018,1,M,30,21238.22593
304,36110550,2018,1,M,35,31735.71684
305,36110550,2018,1,M,40,30992.9266
306,36110550,2018,1,M,45,28855.30052
307,36110550,2018,1,M,50,18860.51098
308,36110550,2018,1,M,55,16814.45445
309,36110550,2018,1,M,60,12189.03923
310,36110550,2018,1,M,65,7515.9527
311,36110550,2018,1,M,70,5507.543634
312,36110550,2018,1,M,75,3391.913179
313,36110550,2018,2,F,15,16105.76834
314,36110550,2018,2,F,20,11940.25425
315,36110550,2018,2,F,25,17678.13076
316,36110550,2018,2,F,30,28594.12119
317,36110550,2018,2,F,35,41208.7118
318,36110550,2018,2,F,40,33965.67441
319,36110550,2018,2,F,45,25394.43444
320,36110550,2018,2,F,50,17988.70312
321,36110550,2018,2,F,55,17492.48755
322,36110550,2018,2,F,60,13349.2909
323,36110550,2018,2,F,65,8760.416419
324,36110550,2018,2,F,70,6787.628235
325,36110550,2018,2,F,75,5181.467661
326,36110550,2018,2,M,15,15375.13298
327,36110550,2018,2,M,20,12512.26764
328,36110550,2018,2,M,25,12970.23913
329,36110550,2018,2,M,30,21363.93878
330,36110550,2018,2,M,35,31831.62431
331,36110550,2018,2,M,40,30768.3949
332,36110550,2018,2,M,45,28823.69451
333,36110550,2018,2,M,50,18977.94099
334,36110550,2018,2,M,55,16904.43198
335,36110550,2018,2,M,60,12290.42448
336,36110550,2018,2,M,65,7690.7895
337,36110550,2018,2,M,70,5575.550197
338,36110550,2018,2,M,75,3400.446822
339,36110550,2018,3,F,15,13226.72841
340,36110550,2018,3,F,20,9460.639331
341,36110550,2018,3,F,25,16368.74436
342,36110550,2018,3,F,30,26511.86242
343,36110550,2018,3,F,35,38890.53971
344,36110550,2018,3,F,40,32684.66872
345,36110550,2018,3,F,45,24031.08766
346,36110550,2018,3,F,50,16190.94156
347,36110550,2018,3,F,55,15854.88336
348,36110550,2018,3,F,60,12177.28367
349,36110550,2018,3,F,65,8030.425662
350,36110550,2018,3,F,70,5806.087547
351,36110550,2018,3,F,75,4616.592994
352,36110550,2018,3,M,15,12805.99488
353,36110550,2018,3,M,20,8873.322386
354,36110550,2018,3,M,25,11953.06582
355,36110550,2018,3,M,30,19601.92815
356,36110550,2018,3,M,35,29912.91061
357,36110550,2018,3,M,40,29102.26405
358,36110550,2018,3,M,45,26828.93599
359,36110550,2018,3,M,50,17302.72965
360,36110550,2018,3,M,55,15422.61849
361,36110550,2018,3,M,60,10889.65683
362,36110550,2018,3,M,65,6999.353206
363,36110550,2018,3,M,70,5040.361175
364,36110550,2018,3,M,75,3244.89343
365,36110550,2018,4,F,15,12819.58849
366,36110550,2018,4,F,20,8928.865944
367,36110550,2018,4,F,25,15976.6861
368,36110550,2018,4,F,30,25311.78294
369,36110550,2018,4,F,35,36916.26041
370,36110550,2018,4,F,40,31519.46853
371,36110550,2018,4,F,45,23335.00532
372,36110550,2018,4,F,50,15807.33624
373,36110550,2018,4,F,55,15195.59201
374,36110550,2018,4,F,60,11806.49406
375,36110550,2018,4,F,65,7675.195547
376,36110550,2018,4,F,70,5527.066807
377,36110550,2018,4,F,75,4431.417156
378,36110550,2018,4,M,15,12297.0105
379,36110550,2018,4,M,20,8514.025278
380,36110550,2018,4,M,25,11677.07908
381,36110550,2018,4,M,30,18800.62422
382,36110550,2018,4,M,35,29010.26804
383,36110550,2018,4,M,40,27690.75498
384,36110550,2018,4,M,45,26182.54759
385,36110550,2018,4,M,50,16816.37291
386,36110550,2018,4,M,55,14651.07183
387,36110550,2018,4,M,60,10230.46323
388,36110550,2018,4,M,65,6790.696656
389,36110550,2018,4,M,70,4812.656921
390,36110550,2018,4,M,75,2941.26004
391,36110550,2018,5,F,15,12439.91064
392,36110550,2018,5,F,20,8673.756448
393,36110550,2018,5,F,25,15144.5887
394,36110550,2018,5,F,30,23825.712
395,36110550,2018,5,F,35,34899.37746
396,36110550,2018,5,F,40,29773.15984
397,36110550,2018,5,F,45,22153.73378
398,36110550,2018,5,F,50,15120.57227
399,36110550,2018,5,F,55,14472.00038
400,36110550,2018,5,F,60,11184.2346
401,36110550,2018,5,F,65,7160.10924
402,36110550,2018,5,F,70,5322.59134
403,36110550,2018,5,F,75,3796.46159
