year,month,h_dng_cd,population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue,d_sum,n_sum
2017,12,36110330,154462.22993499998,6137,8864,5829,5717559784,8864,5829
2017,12,36110340,123930.85613,8678,14063,13615,5250018466,8811,8068
2017,12,36110350,303837.10620700003,6002,9848,9561,5862203951,12736,14479
2017,12,36110360,225470.050951,7385,10500,10162,3667635498,10500,10162
2017,12,36110370,169890.24714800002,5888,7830,5604,3075403093,7830,5604
2017,12,36110380,60554.02082830001,3564,2903,1984,742908646,2903,1984
2017,12,36110390,41489.0316824,2654,1723,1570,2167121188,1723,1570
2017,12,36110510,308352.07839200005,19839,24845,24568,14833517011,17674,17552
2017,12,36110515,529457.449752,23123,30282,29931,11286223917,21520,21368
2017,12,36110520,578383.470039,32128,41696,41200,27047937553,29535,29310
2017,12,36110530,411195.962109,24228,29315,29117,8726814590,21187,21125
2017,12,36110540,272893.72332,30257,37597,37286,11374783823,26820,26712
2017,12,36110550,443688.58696799993,26208,31781,31593,7168543142,22758,22721
2017,12,36110560,541540.1309979999,27735,35153,34795,8511905491,24973,24831
2018,1,36110250,864707.6737999999,43953,33553,37067,23177815302,33553,37067
2018,1,36110310,384706.573131,2597,14784,11278,1865491786,14784,11278
2018,1,36110320,105630.132102,3095,4084,2522,868600476,4084,2522
2018,1,36110330,156775.36879500002,6127,8842,5695,5315126066,8842,5695
2018,1,36110340,128138.11476400001,8664,13566,13296,4603636442,8513,7834
2018,1,36110350,186038.15653700003,5973,9434,9265,4656510149,10580,12576
2018,1,36110360,225888.417551,7395,10564,10022,3397083642,10564,10022
2018,1,36110370,176350.3536,5894,8149,5807,3037093726,8149,5807
2018,1,36110380,59235.14061440001,3540,2926,1963,647495124,2926,1963
2018,1,36110390,42412.1645366,2643,1752,1586,1902046160,1752,1586
2018,1,36110510,305107.5129640001,19871,23959,23922,13663661946,17141,17178
2018,1,36110515,558450.4322350001,23949,30139,30078,11894823821,21550,21594
2018,1,36110520,614456.8554069999,32246,40240,40152,24925994128,28650,28702
2018,1,36110530,438255.469523,24335,28360,28431,9119742162,20600,20723
2018,1,36110540,280334.72445199994,30312,36330,36371,10292291762,26042,26179
2018,1,36110550,457580.9616240002,26321,30813,30923,6810937269,22177,22346
2018,1,36110560,600103.949699,29689,36175,36167,8755191434,25856,25962
2018,2,36110250,893447.2995400002,43870,32875,36167,21955000436,32875,36167
2018,2,36110310,378984.7861989999,2602,14380,10818,1786233526,14380,10818
2018,2,36110320,112120.330993,3077,4084,2563,861519059,4084,2563
2018,2,36110330,158433.32884399995,6110,8810,5699,4893874380,8810,5699
2018,2,36110340,124833.13306,8644,13341,13044,4193868390,8793,7841
2018,2,36110350,187172.964202,5940,9235,9052,4423221327,10091,11978
2018,2,36110360,233583.49519300004,7367,10562,9954,3334378245,10562,9954
2018,2,36110370,201687.08228,5853,7975,5844,2808293316,7975,5844
2018,2,36110380,65841.692113,3515,2962,2058,607402555,2962,2058
2018,2,36110390,49273.6365932,2624,1821,1590,2128425328,1821,1590
2018,2,36110510,303949.44161700003,19840,23423,23409,14440965539,16868,16927
2018,2,36110515,587921.123438,27088,32988,32967,10954360213,23788,23878
2018,2,36110520,613581.2929920001,32371,39637,39579,23781333440,28405,28488
