year,month,hd_cd,sector_code,living_ingu,revenue,customer_count,payment_count
2017,9,36110360,3403,91295.018857,4085281.07405,127.652567505,143.60913844599997
2017,9,36110360,3404,85237.007766,42576968.158,71.80456922299999,79.782854694
2017,9,36110360,3406,33058.87916,2508771.8652999997,23.934856406999998,23.934856406999998
2017,9,36110360,3408,28294.47358,15379700.523,15.956570937999999,23.934856408999998
2017,9,36110360,4101,219506.38584700006,125938566.90939002,8624.526591368,9350.550569568002
2017,9,36110360,4108,224834.37324700004,194922826.7434,5345.451264099,5648.626111609
2017,9,36110360,4110,195771.34453100004,16315593.78294,1595.657093788,1635.5485210880001
2017,9,36110360,4112,229823.30844300005,194978251.59928998,22762.048441647996,24684.815240617994
2017,9,36110360,4113,50129.324660000006,7730958.62,71.804569218,79.782854688
2017,9,36110360,5103,156221.11661100003,18350056.578599997,430.82741530600003,438.80570077600004
2017,9,36110360,5104,4910.748799,558479.9828,7.978285468999999,7.978285468999999
2017,9,36110360,5604,7689.218818,702089.1212,7.978285468999999,7.978285468999999
2017,9,36110360,5605,190683.99552100003,178779055.05308,1005.2639689969999,1029.1988254379999
2017,9,36110360,5608,224854.71853100005,990149328.3355001,18421.861147049996,18637.27485425
2017,9,36110360,5610,104215.328789,329503.189818,175.522280304,175.522280304
2017,9,36110360,5699,12826.95824,526566.8409,7.978285468999999,7.978285468999999
2017,9,36110360,6001,176899.61084900002,90295588.06279999,598.3714101539999,646.241122954
2017,9,36110360,6102,54966.53243000001,1595657.0934400002,39.891427347,39.891427347
2017,9,36110360,6114,23572.917625000002,961383.39894,103.717711089,103.717711089
2017,9,36110360,6201,74241.480797,1926755.9405200002,63.826283753999995,63.826283753999995
2017,9,36110360,6203,98950.471535,22881891.474600002,135.630852974,143.609138444
2017,9,36110360,6207,10133.54965,1053133.682,7.978285468999999,7.978285468999999
2017,9,36110360,7002,15649.909940000001,4786971.281,7.978285468999999,7.978285468999999
2017,9,36110360,7003,150641.37823799998,7730160.79023,422.84912982800006,422.84912982800006
2017,9,36110360,7005,197341.35203000004,12077209.4115,925.481114337,957.3942561670001
2017,9,36110360,7007,26544.258399,1172807.9638,23.934856406999998,23.934856406999998
2017,9,36110360,7102,146544.835178,10427619.106589999,470.71884263600003,470.71884263600003
2017,9,36110360,8102,10133.54965,2473268.495,15.95657094,15.95657094
2017,9,36110360,8106,33007.491963,11648296.784,31.913141877999998,31.913141877999998
2017,9,36110360,8202,40682.857879999996,15637366.2102,31.913141877999998,31.913141877999998
2017,9,36110360,8205,38171.843890000004,953405.11352,63.826283749,63.826283749
2017,9,36110360,8399,15649.909940000001,21100000.0,15.95657094,15.95657094
2017,9,36110360,8406,59850.871895000004,5000789.33236,279.239991368,303.174847768
2017,9,36110360,8410,12388.3843,2393485.641,7.978285468999999,7.978285468999999
2017,9,36110360,9001,11245.00633,151587.4239,7.978285468999999,7.978285468999999
2017,9,36110360,9002,40682.857879999996,10970142.519,23.934856406999998,23.934856406999998
2017,9,36110360,9003,43679.190963,1122544.76541,39.891427347,39.891427347
2017,9,36110360,9005,230432.32214200005,1509198996.4,151555.510763,154539.38952690002
2017,9,36110360,9011,99436.346277,266087965.125,917.5028288999999,1148.8731075199998
2017,9,36110370,1004,42165.776917999996,10898337.9494,135.630852977,143.609138447
2017,9,36110370,1007,8942.436695999999,734002.2631,15.95657094,15.95657094
2017,9,36110370,1099,8942.436695999999,239348.5641,7.978285468999999,7.978285468999999
2017,9,36110370,2002,105229.586571,4668094.82809,622.306266517,638.262837467
2017,9,36110370,2003,99906.355521,5369386.1203,526.56684091,526.56684091
2017,9,36110370,2004,146496.150782,10701274.29923,1180.7862493979994,1268.5473894779996
2017,9,36110370,2099,65077.02229699999,6394595.802299999,215.41370765700003,223.39199312700003
2017,9,36110370,2104,174855.999226,238556534.83900005,6853.3472174300005,7020.891212399999
2017,9,36110370,2107,89459.034135,11097795.08569,175.522280316,183.500565786
2017,9,36110370,2109,152275.200268,29320199.09655,1260.569104096,1276.525675066
2017,9,36110370,2111,104977.38678399999,5624691.25495,390.93598800600006,446.78398626600006
2017,9,36110370,2112,155568.763593,58529500.0254,1890.8536561699998,1938.72336891
2017,9,36110370,2199,125237.623397,11991363.05977,279.23999141300004,287.21827687300004
2017,9,36110370,2299,36327.53721,7100674.067,31.913141877999998,31.913141877999998
2017,9,36110370,2401,26224.259140000002,797828.5469,23.934856406999998,23.934856406999998
2017,9,36110370,2402,171283.35382000002,132973213.82182,1882.8753707390003,1954.6799398289997
2017,9,36110370,2406,111573.686501,12853017.88942,255.30513501500008,255.30513501500008
2017,9,36110370,2499,168371.96662300001,20715219.305209994,1962.6582252649998,1994.5713672049997
2017,9,36110370,3101,24119.389364000002,369394.61718,23.934856406999998,23.934856406999998
2017,9,36110370,3203,47660.578391999996,726023.97769,55.847998284999996,63.82628375499999
2017,9,36110370,3303,27754.638207000004,10077851.072299998,23.934856406999998,23.934856406999998
2017,9,36110370,3402,12456.34315,607307.0899,39.89142734,47.86971281
2017,9,36110370,3403,114880.891009,31312874.8953,390.9359879670001,430.827415308
2017,9,36110370,3406,66572.903928,3877446.7383999997,71.804569225,71.804569225
2017,9,36110370,4101,168371.96662300001,53718194.97484,3717.881028429,3901.381594329001
2017,9,36110370,4108,177189.53542700002,212715403.42395,6558.150655008001,7196.4134926589995
2017,9,36110370,4110,96066.646537,4712374.311999999,255.305135006,263.283420486
2017,9,36110370,4112,167032.278501,144891900.09140003,18126.664583870006,20408.454228770002
2017,9,36110370,4113,48399.263230000004,8600591.7348,143.609138438,175.522280308
2017,9,36110370,5103,93727.30428899999,14831624.7067,287.21827685700003,287.21827685700003
2017,9,36110370,5605,52617.005434000006,6354704.376,63.826283755999995,63.826283755999995
2017,9,36110370,5608,173616.89002100003,1552842858.1248,19044.167414158,19259.581121358002
2017,9,36110370,5609,166793.354475,189927036.27290002,6246.997521707999,6302.845520067999
2017,9,36110370,6002,20515.638942999998,263283.42049,15.956570937999999,15.956570937999999
2017,9,36110370,6004,161455.38891100002,750962951.98191,5664.582682448,5824.148392418
2017,9,36110370,6011,54373.557762000004,1444867.49835,63.826283755999995,63.826283755999995
2017,9,36110370,6018,35077.351479000004,2294554.90073,374.979417069,414.870844339
2017,9,36110370,6102,12456.34315,119674.28199999999,7.978285468999999,7.978285468999999
2017,9,36110370,6114,55804.522011,1026805.33978,95.73942563700001,103.717711097
2017,9,36110370,6116,25810.316116,12661539.037999999,31.913141877999998,31.913141877999998
2017,9,36110370,6203,28378.440129000002,1595657.0937,23.934856406999998,23.934856406999998
2017,9,36110370,7003,159064.914859,37578043.68788999,829.74168871,845.69825965
2017,9,36110370,7005,142957.94816799997,6428902.430790001,542.5234118669999,550.501697337
2017,9,36110370,7007,22299.13555,582414.8392,15.956570937999999,15.956570937999999
2017,9,36110370,7009,9414.446873,2497203.352,15.95657094,15.95657094
2017,9,36110370,7102,115211.72635599998,7603306.051720001,295.196562355,295.196562355
2017,9,36110370,7105,20783.702762,191478.85124000002,23.934856408999998,23.934856408999998
2017,9,36110370,7106,9188.523159,622306.2665,7.978285468999999,7.978285468999999
2017,9,36110370,8201,11759.83773,1037177.1109999999,7.978285468999999,7.978285468999999
2017,9,36110370,8205,32473.673583000003,1081057.68101,47.869712808,47.869712808
2017,9,36110370,8406,46188.971883,606349.6956199999,47.869712813999996,47.869712813999996
2017,9,36110370,9001,12456.34315,4914623.848999999,7.978285468999999,7.978285468999999
2017,9,36110370,9003,76290.55270300001,4771413.6244734,135.630852975,167.54399484600003
2017,9,36110370,9011,60154.102048,47297350.610999994,143.609138437,183.50056577900003
2017,9,36110380,2002,63454.646193,284666365.3292001,7363.957487667999,10339.857967809
2017,9,36110380,2104,64450.2550608,260651518.92049998,3949.2513070699997,4005.0993050700004
2017,9,36110380,2112,31179.183551,8528787.1658,295.19656234700005,303.17484781700006
2017,9,36110380,2402,59053.857756,107353497.16,1292.4822460589999,1404.178242429
2017,9,36110380,2406,51912.574895,13367617.303400002,327.1097042450001,359.0228461270001
2017,9,36110380,2499,46874.499425,9229280.630140001,183.50056578800002,183.50056578800002
2017,9,36110380,3203,34456.509728,6813455.79031,231.37027860500007,231.37027860500007
2017,9,36110380,3303,16488.599267999998,5297581.5515,31.913141875999997,31.913141875999997
2017,9,36110380,3403,25311.502926999998,4290793.72907,119.674282036,127.652567507
2017,9,36110380,3406,54226.690429999995,7979482.211299999,462.74055718100016,470.7188426510001
2017,9,36110380,4108,53554.699657000005,6281703.063610001,478.69712813600006,478.69712813600006
2017,9,36110380,4110,58177.835471,41515297.91599,925.4811143539999,989.3073981349999
2017,9,36110380,4112,62265.216228799996,68350776.43926,6231.040951006999,6677.824937406999
2017,9,36110380,4113,3461.331022,1356308.53,7.978285468999999,7.978285468999999
2017,9,36110380,5103,25161.532208,10371771.1095,231.37027860700005,239.34856407700005
2017,9,36110380,5402,4752.931391,1555765.6663000002,15.956570937999999,15.956570937999999
2017,9,36110380,5605,37406.120222000005,115418850.962,335.087989689,343.06627514900003
2017,9,36110380,5608,56127.2472998,36452836.2319,438.8057007930001,438.8057007930001
2017,9,36110380,7002,4352.170778,17237085.755,31.91314188,63.82628374
2017,9,36110380,8101,8276.156466,16578992.995199999,63.826283747,79.782854687
2017,9,36110380,8203,4199.864993,15400000.0,7.978285468999999,7.978285468999999
2017,9,36110380,9001,13343.353935,837719.97428,63.826283746,71.804569216
2017,9,36110380,9003,35738.789786,3087596.47644,159.56570938200002,159.56570938200002
2017,9,36110380,9011,7946.065073,5042276.416,15.956570937999999,23.934856408999998
2017,9,36110390,1299,5885.115315999999,438805.70079000003,23.934856406999998,31.913141877999998
2017,9,36110390,2002,35060.9683486,20745935.7041,1284.503960429,1292.482245899
2017,9,36110390,2003,40217.3016632,111400120.06928998,7467.675198558001,7922.437470268001
2017,9,36110390,2004,34713.2419381,5270455.380480001,526.5668409350001,534.5451264059999
2017,9,36110390,2104,40628.3971119,207536762.81512,11871.688777538999,12047.211058679
2017,9,36110390,2107,6930.284476000001,2600921.0625,39.89142734799999,39.89142734799999
2017,9,36110390,2109,36902.6150597,23392332.992949996,1643.5268064560003,1643.5268064560003
2017,9,36110390,2112,23471.8149933,9047375.7219,319.13141875400004,327.1097042140001
2017,9,36110390,2199,20076.903682799995,763521.9193300001,111.695996571,111.695996571
2017,9,36110390,2401,3159.850481,215413.7077,7.978285468999999,15.95657094
2017,9,36110390,2406,16161.041261999999,4643362.142399999,95.73942563599999,95.73942563599999
2017,9,36110390,2499,7075.535287999999,749958.8339999999,23.934856406999998,23.934856406999998
2017,9,36110390,3303,8454.200288,1045155.3964,31.913141875999997,31.913141875999997
2017,9,36110390,3403,8962.377465,1463616.46924,71.804569217,71.804569217
2017,9,36110390,3405,6828.606135,2676714.7748000002,23.934856406999998,23.934856406999998
2017,9,36110390,3406,4186.406270699999,319131.41878999997,15.956570937999999,15.956570937999999
2017,9,36110390,4101,28149.312998499998,6655485.738279999,670.1759793959999,694.1108357959998
2017,9,36110390,4108,38654.8906311,67545208.4284,3079.6181909100005,3287.05361304
2017,9,36110390,4110,36238.9201,24366481.64827,1954.6799397979999,2122.2239347380005
2017,9,36110390,4112,41234.528723899995,163813014.18697998,21724.871331147,22801.939868897003
2017,9,36110390,4113,9291.217722,4084882.1604,39.891427347,39.891427347
2017,9,36110390,5402,4308.065489,4547622.7174,15.956570937999999,15.956570937999999
2017,9,36110390,5605,30335.440465499996,81576072.05729002,255.30513501000001,255.30513501000001
2017,9,36110390,5608,40628.3971119,1098169916.5441,18932.47141724,19100.015410940003
2017,9,36110390,6203,8518.1423697,2912074.1961000003,39.891427347,39.891427347
2017,9,36110390,7003,30826.522888499996,8454589.1111,558.4799828170001,558.4799828170001
2017,9,36110390,7005,34849.504654599994,10862036.751920003,550.501697336,574.4365537460001
2017,9,36110390,7102,16208.020279999999,1994571.3668899997,79.78285469299999,79.78285469299999
2017,9,36110390,8102,4711.011467,3829577.024,23.934856408999998,23.934856408999998
2017,9,36110390,8106,3159.850481,4388057.008,7.978285468999999,7.978285468999999
2017,9,36110390,8406,5077.71527,749958.834,15.956570937999999,15.956570937999999
2017,9,36110390,9003,3236.706175,7978285.469,7.978285468999999,7.978285468999999
2017,9,36110390,9011,8045.658783999999,14672066.977,39.891427345,79.782854699
2017,9,36110510,1004,162889.00462,4180621.5857899995,55.847998288,55.847998288
2017,9,36110510,1007,377026.83019000007,6026796.842700001,159.565709398,159.565709398
2017,9,36110510,1099,124384.43149,718045.6921000001,23.934856406999998,23.934856406999998
2017,9,36110510,1102,141685.2418,9845204.2682,39.89142734799999,47.869712819
2017,9,36110510,1204,629028.6165,45983646.1268,662.197693876,670.175979336
