id,hd_cd,year,month,upjong_code,revenue,customer_count,payment_count,high_class,upjong
138,3611025000,2017,1,4101,1.813661361E9,77898.61,81024.14,6,1
139,3611025000,2017,1,5608,2.134505377E9,37444.25,37888.22,8,2
140,3611025000,2017,2,3408,88793.58,8.88,8.88,5,
141,3611025000,2017,2,6111,106552.3,8.88,8.88,10,1
142,3611025000,2017,2,6015,301898.17,53.28,53.28,9,
143,3611025000,2017,2,1208,355174.32,17.76,17.76,1,
144,3611025000,2017,2,2401,550520.2,35.52,35.52,2,
145,3611025000,2017,2,3299,632654.26,35.52,35.52,4,
146,3611025000,2017,2,5301,781383.51,8.88,8.88,7,
147,3611025000,2017,2,2299,887935.81,8.88,8.88,3,
148,3611025000,2017,2,8402,1065522.97,8.88,8.88,13,
149,3611025000,2017,2,5610,1275075.82,728.11,736.99,8,2
150,3611025000,2017,2,4113,1346110.68,204.23,213.1,6,2
151,3611025000,2017,2,1206,1376300.5,26.64,26.64,1,1
152,3611025000,2017,2,8109,1553887.66,17.76,17.76,13,2
153,3611025000,2017,2,7104,1775871.61,8.88,8.88,12,
154,3611025000,2017,2,1003,2131045.93,17.76,17.76,1,
155,3611025000,2017,2,1101,2317512.45,44.4,44.4,1,
156,3611025000,2017,2,3204,2422288.88,26.64,26.64,4,
157,3611025000,2017,2,6208,2601651.91,79.91,79.91,10,
158,3611025000,2017,2,6021,2663807.42,8.88,8.88,9,2
159,3611025000,2017,2,5603,2717083.57,53.28,53.28,8,
160,3611025000,2017,2,4199,2779239.07,26.64,26.64,6,
161,3611025000,2017,2,5402,2930188.16,17.76,17.76,7,
162,3611025000,2017,2,4114,2956826.23,62.16,62.16,6,
163,3611025000,2017,2,8205,2965705.59,168.71,186.47,13,
164,3611025000,2017,2,1104,3152172.11,88.79,88.79,1,
165,3611025000,2017,2,6011,3183249.87,301.9,301.9,9,2
166,3611025000,2017,2,2407,3533984.51,17.76,17.76,2,
167,3611025000,2017,2,7108,3587260.66,88.79,88.79,12,
168,3611025000,2017,2,1205,3729330.39,106.55,106.55,1,
169,3611025000,2017,2,8303,3880279.47,35.52,35.52,13,1
170,3611025000,2017,2,8399,3948650.53,159.83,168.71,13,
171,3611025000,2017,2,3404,3995711.13,17.76,17.76,5,
172,3611025000,2017,2,6102,4313592.15,204.23,204.23,10,
173,3611025000,2017,2,6002,4368644.17,79.91,79.91,9,
174,3611025000,2017,2,8218,4452110.13,346.29,346.29,13,
175,3611025000,2017,2,9002,4883646.93,26.64,26.64,14,
176,3611025000,2017,2,8111,5327614.84,17.76,17.76,13,2
177,3611025000,2017,2,8304,5527400.39,150.95,150.95,13,
178,3611025000,2017,2,8404,5618857.78,53.28,53.28,13,
179,3611025000,2017,2,6018,5738729.12,1509.49,1642.68,10,2
180,3611025000,2017,2,3202,5780462.1,44.4,44.4,4,
181,3611025000,2017,2,1299,5904773.11,88.79,88.79,1,
182,3611025000,2017,2,3406,6026420.32,150.95,168.71,5,
183,3611025000,2017,2,4111,6544086.89,44.4,44.4,6,
184,3611025000,2017,2,1202,6632880.47,115.43,115.43,1,
185,3611025000,2017,2,6204,6737656.9,177.59,177.59,10,1
186,3611025000,2017,2,1001,7056958.61,133.19,133.19,1,
187,3611025000,2017,2,6009,7867111.24,150.95,150.95,9,
188,3611025000,2017,2,8299,7929266.75,133.19,133.19,13,
189,3611025000,2017,2,7009,8355475.94,284.14,284.14,11,
190,3611025000,2017,2,7004,9145738.8,1003.37,1012.25,11,
191,3611025000,2017,2,9001,9261170.46,221.98,221.98,14,
192,3611025000,2017,2,3201,9400576.38,204.23,221.98,4,
193,3611025000,2017,2,3405,9562180.7,186.47,195.35,5,
194,3611025000,2017,2,6299,9767293.87,8.88,17.76,10,
195,3611025000,2017,2,3402,9838328.73,35.52,44.4,5,
196,3611025000,2017,2,3499,1.020327035E7,142.07,142.07,5,
197,3611025000,2017,2,8114,1.021126177E7,35.52,44.4,13,2
198,3611025000,2017,2,6007,1.036753847E7,577.16,594.92,9,2
199,3611025000,2017,2,5611,1.178468402E7,266.38,266.38,8,2
200,3611025000,2017,2,6116,1.20048921E7,177.59,177.59,10,
201,3611025000,2017,2,3302,1.297274213E7,97.67,97.67,5,
202,3611025000,2017,2,8201,1.32746403E7,17.76,17.76,13,
203,3611025000,2017,2,6010,1.345222746E7,88.79,88.79,9,
204,3611025000,2017,2,6107,1.351704678E7,683.71,683.71,10,
205,3611025000,2017,2,1207,1.356943499E7,381.81,399.57,1,1
206,3611025000,2017,2,8110,1.475127755E7,825.78,879.06,13,2
207,3611025000,2017,2,8112,1.516594357E7,71.03,71.03,13,2
208,3611025000,2017,2,8211,1.735914501E7,62.16,71.03,13,
209,3611025000,2017,2,2403,1.741020132E7,79.91,79.91,2,
210,3611025000,2017,2,6199,1.825485026E7,17.76,17.76,10,
211,3611025000,2017,2,2499,1.856096613E7,1030.01,1065.52,2,
212,3611025000,2017,2,6005,1.898406754E7,488.36,488.36,9,
213,3611025000,2017,2,3102,1.919228848E7,266.38,266.38,4,
214,3611025000,2017,2,7103,1.929484507E7,337.42,337.42,12,2
215,3611025000,2017,2,7007,2.123143306E7,221.98,221.98,11,2
216,3611025000,2017,2,5502,2.51703163E7,239.74,248.62,8,
217,3611025000,2017,2,8199,2.903550086E7,399.57,399.57,13,2
218,3611025000,2017,2,2107,2.935959743E7,1145.44,1145.44,2,3
219,3611025000,2017,2,9003,2.955494331E7,1385.18,1429.58,14,
220,3611025000,2017,2,1008,3.155635062E7,532.76,586.04,1,1
221,3611025000,2017,2,4200,3.170374796E7,221.98,230.86,6,
222,3611025000,2017,2,2404,3.193905095E7,62.16,62.16,2,
223,3611025000,2017,2,8202,3.307196824E7,515.0,541.64,13,
224,3611025000,2017,2,7107,3.422992533E7,230.86,230.86,11,
225,3611025000,2017,2,8101,3.698252633E7,124.31,124.31,13,
226,3611025000,2017,2,7105,3.825937802E7,2868.03,2876.91,12,
227,3611025000,2017,2,1203,3.826559357E7,124.31,142.07,1,
228,3611025000,2017,2,8113,4.180401776E7,168.71,168.71,13,
229,3611025000,2017,2,6205,4.212722639E7,1296.39,1340.78,10,
230,3611025000,2017,2,1099,4.320296062E7,541.64,559.4,1,1
231,3611025000,2017,2,1007,4.429290182E7,435.09,452.85,1,
232,3611025000,2017,2,1102,4.445894582E7,399.57,408.45,1,
233,3611025000,2017,2,3001,4.557330525E7,204.23,204.23,4,
234,3611025000,2017,2,1201,4.573002592E7,479.49,497.24,1,
235,3611025000,2017,2,6103,4.584945329E7,337.42,355.17,10,
236,3611025000,2017,2,8406,4.614646782E7,3187.69,3232.09,13,2
237,3611025000,2017,2,2112,5.296448291E7,1118.8,1118.8,2,3
238,3611025000,2017,2,8102,6.605354462E7,461.73,461.73,13,2
239,3611025000,2017,2,2002,7.098158835E7,10655.23,11028.16,2,
240,3611025000,2017,2,3203,7.356619189E7,2060.01,2148.8,4,
241,3611025000,2017,2,2110,7.389685919E7,2947.95,2956.83,2,3
242,3611025000,2017,2,6113,8.398008062E7,3285.36,3320.88,10,
243,3611025000,2017,2,6114,8.611698693E7,5380.89,5638.39,10,1
244,3611025000,2017,2,5103,8.670724225E7,1473.97,1482.85,7,2
245,3611025000,2017,2,4115,8.959659425E7,1509.49,1518.37,6,
246,3611025000,2017,2,2099,1.122250522E8,9394.36,9580.83,2,3
247,3611025000,2017,2,8106,1.133281349E8,328.54,417.33,13,
248,3611025000,2017,2,7002,1.166729891E8,1695.96,1766.99,11,2
249,3611025000,2017,2,3403,1.290088592E8,2317.51,2512.86,5,
250,3611025000,2017,2,6203,1.329599072E8,1225.35,1243.11,10,
251,3611025000,2017,2,4108,1.340226332E8,3498.47,3533.98,6,1
252,3611025000,2017,2,3401,1.573828923E8,1926.82,2077.77,5,
253,3611025000,2017,2,1204,1.712614622E8,1855.79,1864.67,1,2
254,3611025000,2017,2,2004,1.960119624E8,24373.84,25013.15,2,3
255,3611025000,2017,2,7102,2.130601967E8,6686.16,6748.31,12,2
256,3611025000,2017,2,2003,2.211848093E8,20085.11,20564.59,2,3
257,3611025000,2017,2,7106,2.223992391E8,5913.65,6375.38,12,1
258,3611025000,2017,2,2406,2.319236293E8,5958.05,6703.92,2,1
259,3611025000,2017,2,5609,2.340314735E8,7094.61,7094.61,8,
260,3611025000,2017,2,2109,2.45575518E8,11294.54,11312.3,2,3
261,3611025000,2017,2,2402,2.463129664E8,7059.09,7263.31,2,1
262,3611025000,2017,2,6001,2.463826516E8,2361.91,2415.19,9,
263,3611025000,2017,2,7005,3.228724343E8,23317.19,24116.34,11,1
264,3611025000,2017,2,1004,3.260971774E8,3809.24,3933.56,1,1
265,3611025000,2017,2,4110,4.353411628E8,19312.6,19863.12,6,1
266,3611025000,2017,2,2199,4.664880329E8,32214.31,32951.3,2,3
267,3611025000,2017,2,4112,4.671968366E8,73982.81,76255.93,6,1
268,3611025000,2017,2,5605,6.985962463E8,6020.2,6171.15,8,2
269,3611025000,2017,2,3101,7.836865575E8,2086.65,2184.32,4,
270,3611025000,2017,2,4107,1.111420902E9,21479.17,23450.38,6,1
271,3611025000,2017,2,7003,1.113666492E9,27907.82,28795.76,11,2
272,3611025000,2017,2,2104,1.173673886E9,48135.0,48410.26,2,3
273,3611025000,2017,2,4101,1.43421407E9,65014.66,67678.47,6,1
274,3611025000,2017,2,9011,1.590577612E9,4741.58,6339.86,14,2
275,3611025000,2017,2,5608,2.120516632E9,35037.95,35446.4,8,2
276,3611025000,2017,3,3408,58603.76,8.88,8.88,5,
277,3611025000,2017,3,5699,195345.88,8.88,8.88,8,
278,3611025000,2017,3,6111,532761.48,17.76,17.76,10,1
279,3611025000,2017,3,6015,625994.74,97.67,97.67,9,
280,3611025000,2017,3,5305,683710.57,8.88,8.88,7,
281,3611025000,2017,3,8109,710348.64,8.88,8.88,13,2
