year,month,h_dng_cd,d_sum,n_sum
2018,6,36110510,17309,17406
2018,6,36110515,36836,37051
2018,6,36110520,29369,29499
2018,6,36110530,21014,21220
2018,6,36110540,26527,26740
2018,6,36110550,23272,23514
2018,6,36110560,30008,30223
2018,7,36110250,34896,37644
2018,7,36110310,14618,10101
2018,7,36110320,4403,2693
2018,7,36110330,9401,6074
2018,7,36110340,9692,8389
2018,7,36110350,10553,12478
2018,7,36110360,10573,10275
2018,7,36110370,8467,5904
2018,7,36110380,3262,2201
2018,7,36110390,2010,1655
2018,7,36110510,16676,16976
2018,7,36110515,37169,37858
2018,7,36110520,28371,28840
2018,7,36110530,20233,20680
2018,7,36110540,25624,26150
2018,7,36110550,22879,23403
2018,7,36110560,29753,30334
2018,8,36110250,34496,37128
2018,8,36110310,14730,10346
2018,8,36110320,4405,2750
2018,8,36110330,9251,6069
2018,8,36110340,9409,8168
2018,8,36110350,10900,12497
2018,8,36110360,10613,10376
2018,8,36110370,8684,5989
2018,8,36110380,3225,2263
2018,8,36110390,1933,1673
2018,8,36110510,16631,16880
2018,8,36110515,38464,39094
2018,8,36110520,28417,28814
2018,8,36110530,20177,20548
2018,8,36110540,25613,26072
2018,8,36110550,23227,23694
2018,8,36110560,31218,31764
2018,9,36110250,40797,43141
2018,9,36110310,14341,10184
2018,9,36110320,4585,2751
2018,9,36110330,9358,6120
2018,9,36110340,9707,8324
2018,9,36110350,11592,13039
2018,9,36110360,10410,10167
2018,9,36110370,8852,6004
2018,9,36110380,2811,1930
2018,9,36110390,2128,1859
2018,9,36110510,16898,17019
2018,9,36110515,39742,40075
2018,9,36110520,29011,29189
2018,9,36110530,20488,20706
2018,9,36110540,26038,26297
2018,9,36110550,23774,24063
2018,9,36110560,33680,33975
