id,etl_ymd,ht,sido_cd,sgg_cd,cnt
497,20180901,14,36,41463,73
498,20180901,14,36,41465,58
499,20180901,14,36,41570,37
500,20180901,14,36,41610,42
501,20180901,14,36,41670,10
502,20180901,14,36,41820,11
503,20180901,14,36,42110,20
504,20180901,14,36,42230,7
505,20180901,14,36,42820,4
506,20180901,14,36,43111,199
507,20180901,14,36,43730,61
508,20180901,14,36,43760,7
509,20180901,14,36,44710,45
510,20180901,14,36,44770,35
511,20180901,14,36,44790,67
512,20180901,14,36,45130,92
513,20180901,14,36,45140,117
514,20180901,14,36,46110,36
515,20180901,14,36,46840,11
516,20180901,14,36,47150,57
517,20180901,14,36,47210,5
518,20180901,14,36,48123,19
519,20180901,14,36,48125,12
520,20180901,14,36,48129,6
521,20180901,14,36,48170,15
522,20180901,14,36,48240,5
523,20180901,14,36,50110,15
524,20180901,14,36,50130,4
525,20180901,15,36,11170,42
526,20180901,15,36,11260,42
527,20180901,15,36,11320,21
528,20180901,15,36,11350,50
529,20180901,15,36,11560,74
530,20180901,15,36,11650,73
531,20180901,15,36,11740,42
532,20180901,15,36,26140,7
533,20180901,15,36,26200,17
534,20180901,15,36,26380,21
535,20180901,15,36,26440,6
536,20180901,15,36,27140,43
537,20180901,15,36,27170,11
538,20180901,15,36,28177,38
539,20180901,15,36,28245,27
540,20180901,15,36,28710,7
541,20180901,15,36,29170,41
542,20180901,15,36,30140,384
543,20180901,15,36,30170,983
544,20180901,15,36,31170,22
545,20180901,15,36,41117,80
546,20180901,15,36,41135,81
547,20180901,15,36,41173,59
548,20180901,15,36,41250,8
549,20180901,15,36,41281,56
550,20180901,15,36,41285,40
551,20180901,15,36,41310,16
552,20180901,15,36,41370,26
553,20180901,15,36,41390,64
554,20180901,15,36,41430,34
555,20180901,15,36,41550,53
556,20180901,15,36,42150,14
557,20180901,15,36,42770,4
558,20180901,15,36,43112,374
559,20180901,15,36,43130,61
560,20180901,15,36,43720,15
561,20180901,15,36,43745,35
562,20180901,15,36,44150,564
563,20180901,15,36,44180,87
564,20180901,15,36,44200,288
565,20180901,15,36,44760,93
566,20180901,15,36,44810,87
567,20180901,15,36,45730,7
568,20180901,15,36,45800,6
569,20180901,15,36,46230,19
570,20180901,15,36,46820,4
571,20180901,15,36,46830,6
572,20180901,15,36,46870,6
573,20180901,15,36,47111,25
574,20180901,15,36,47170,6
575,20180901,15,36,47230,14
576,20180901,15,36,47250,13
577,20180901,15,36,47280,4
578,20180901,15,36,47850,17
579,20180901,15,36,48121,16
580,20180901,15,36,48127,9
581,20180901,15,36,48310,19
582,20180901,15,36,NA,4
583,20180901,16,36,11215,61
584,20180901,16,36,11230,46
585,20180901,16,36,11470,58
586,20180901,16,36,11680,125
587,20180901,16,36,11710,120
588,20180901,16,36,26260,26
589,20180901,16,36,26470,22
590,20180901,16,36,27110,12
591,20180901,16,36,27230,80
592,20180901,16,36,27260,69
593,20180901,16,36,27290,71
594,20180901,16,36,28200,56
595,20180901,16,36,30110,343
596,20180901,16,36,31140,31
597,20180901,16,36,41111,50
598,20180901,16,36,41171,21
599,20180901,16,36,41190,121
600,20180901,16,36,41273,43
601,20180901,16,36,41590,152
602,20180901,16,36,41630,11
603,20180901,16,36,41650,13
604,20180901,16,36,41830,5
605,20180901,16,36,42130,33
606,20180901,16,36,42800,5
607,20180901,16,36,43114,259
608,20180901,16,36,43740,40
609,20180901,16,36,43750,45
610,20180901,16,36,44800,89
611,20180901,16,36,44825,50
612,20180901,16,36,45113,70
613,20180901,16,36,46150,28
614,20180901,16,36,46170,26
615,20180901,16,36,46770,5
616,20180901,16,36,46790,12
617,20180901,16,36,46800,6
618,20180901,16,36,46880,5
619,20180901,16,36,47113,34
620,20180901,16,36,47190,62
621,20180901,16,36,47900,4
622,20180901,16,36,48250,24
623,20180901,16,36,48870,4
624,20180901,17,36,11110,38
625,20180901,17,36,11305,30
626,20180901,17,36,11380,69
627,20180901,17,36,11410,57
628,20180901,17,36,11530,71
629,20180901,17,36,26170,11
630,20180901,17,36,26230,25
631,20180901,17,36,26320,26
632,20180901,17,36,26350,36
633,20180901,17,36,26710,6
634,20180901,17,36,28110,15
635,20180901,17,36,28185,37
636,20180901,17,36,29155,20
637,20180901,17,36,31110,27
638,20180901,17,36,31710,23
639,20180901,17,36,41115,48
640,20180901,17,36,41133,23
641,20180901,17,36,41210,40
642,20180901,17,36,41220,139
643,20180901,17,36,41290,8
644,20180901,17,36,41360,41
645,20180901,17,36,41410,49
646,20180901,17,36,41450,13
647,20180901,17,36,41480,29
648,20180901,17,36,41500,33
649,20180901,17,36,42170,4
650,20180901,17,36,43113,671
651,20180901,17,36,43150,10
652,20180901,17,36,43770,52
653,20180901,17,36,44131,332
654,20180901,17,36,44133,291
655,20180901,17,36,44210,124
656,20180901,17,36,44230,148
657,20180901,17,36,44250,89
658,20180901,17,36,44270,81
659,20180901,17,36,45111,88
660,20180901,17,36,45180,27
661,20180901,17,36,45190,16
662,20180901,17,36,45210,15
663,20180901,17,36,45710,19
664,20180901,17,36,45790,8
665,20180901,17,36,46130,25
666,20180901,17,36,46710,7
667,20180901,17,36,46810,5
668,20180901,17,36,46860,4
669,20180901,17,36,47130,23
670,20180901,17,36,47290,40
671,20180901,17,36,47830,4
672,20180901,17,36,48270,18
673,20180901,17,36,48330,26
674,20180901,18,36,11140,20
675,20180901,18,36,11200,43
676,20180901,18,36,11290,44
677,20180901,18,36,11440,61
678,20180901,18,36,11500,66
679,20180901,18,36,11545,32
680,20180901,18,36,11590,56
681,20180901,18,36,11620,73
682,20180901,18,36,26290,21
683,20180901,18,36,26410,24
684,20180901,18,36,26500,8
685,20180901,18,36,26530,9
686,20180901,18,36,27200,8
687,20180901,18,36,27710,14
688,20180901,18,36,28237,56
689,20180901,18,36,28260,43
690,20180901,18,36,29110,13
691,20180901,18,36,29140,41
692,20180901,18,36,29200,32
693,20180901,18,36,30200,992
694,20180901,18,36,30230,324
695,20180901,18,36,31200,14
696,20180901,18,36,41113,53
697,20180901,18,36,41131,22
698,20180901,18,36,41150,20
699,20180901,18,36,41271,43
700,20180901,18,36,41287,17
701,20180901,18,36,41461,32
702,20180901,18,36,41463,57
703,20180901,18,36,41465,39
704,20180901,18,36,41570,21
705,20180901,18,36,41610,37
706,20180901,18,36,41670,10
707,20180901,18,36,42110,10
708,20180901,18,36,42790,4
709,20180901,18,36,42820,5
710,20180901,18,36,43111,161
711,20180901,18,36,43730,51
712,20180901,18,36,43760,8
713,20180901,18,36,44710,31
714,20180901,18,36,44770,22
715,20180901,18,36,44790,57
716,20180901,18,36,45130,70
717,20180901,18,36,45140,70
718,20180901,18,36,46110,30
719,20180901,18,36,46840,13
720,20180901,18,36,46890,6
721,20180901,18,36,47150,40
722,20180901,18,36,47930,4
723,20180901,18,36,48123,15
724,20180901,18,36,48125,5
725,20180901,18,36,48129,11
726,20180901,18,36,48170,13
727,20180901,18,36,48240,7
728,20180901,18,36,50110,10
729,20180901,18,36,50130,5
730,20180901,19,36,11170,39
731,20180901,19,36,11260,17
732,20180901,19,36,11320,27
733,20180901,19,36,11350,17
734,20180901,19,36,11560,55
735,20180901,19,36,11650,48
736,20180901,19,36,11740,30
737,20180901,19,36,26200,9
738,20180901,19,36,26380,14
739,20180901,19,36,26440,5
740,20180901,19,36,27140,30
741,20180901,19,36,27170,8
742,20180901,19,36,28177,10
743,20180901,19,36,28245,19
744,20180901,19,36,29170,39
745,20180901,19,36,30140,224
746,20180901,19,36,30170,532
747,20180901,19,36,31170,11
748,20180901,19,36,41117,58
749,20180901,19,36,41135,60
750,20180901,19,36,41173,32
751,20180901,19,36,41250,4
752,20180901,19,36,41281,29
753,20180901,19,36,41285,22
754,20180901,19,36,41310,18
755,20180901,19,36,41370,23
756,20180901,19,36,41390,39
757,20180901,19,36,41430,21
758,20180901,19,36,41550,41
759,20180901,19,36,42150,8
760,20180901,19,36,43112,267
761,20180901,19,36,43130,41
762,20180901,19,36,43720,10
763,20180901,19,36,43745,15
764,20180901,19,36,44150,364
765,20180901,19,36,44180,48
766,20180901,19,36,44200,167
767,20180901,19,36,44760,51
768,20180901,19,36,44810,48
769,20180901,19,36,46230,6
770,20180901,19,36,46830,4
771,20180901,19,36,47111,8
772,20180901,19,36,47230,8
773,20180901,19,36,47250,7
774,20180901,19,36,47280,4
775,20180901,19,36,48121,10
776,20180901,19,36,48127,7
777,20180901,19,36,48310,11
778,20180901,20,36,11110,26
779,20180901,20,36,11305,19
780,20180901,20,36,11380,36
781,20180901,20,36,11410,33
782,20180901,20,36,11530,45
783,20180901,20,36,26170,7
784,20180901,20,36,26230,18
785,20180901,20,36,26320,9
786,20180901,20,36,26350,33
787,20180901,20,36,26710,5
788,20180901,20,36,28110,6
789,20180901,20,36,28185,24
790,20180901,20,36,29155,14
791,20180901,20,36,31110,14
792,20180901,20,36,31710,14
793,20180901,20,36,41115,17
794,20180901,20,36,41133,12
795,20180901,20,36,41210,32
796,20180901,20,36,41220,75
797,20180901,20,36,41360,21
798,20180901,20,36,41410,12
799,20180901,20,36,41450,9
800,20180901,20,36,41480,25
801,20180901,20,36,41500,11
802,20180901,20,36,42730,4
803,20180901,20,36,43113,369
804,20180901,20,36,43150,5
805,20180901,20,36,43770,32
806,20180901,20,36,44131,122
807,20180901,20,36,44133,136
808,20180901,20,36,44210,58
809,20180901,20,36,44230,57
810,20180901,20,36,44250,50
811,20180901,20,36,44270,52
812,20180901,20,36,45111,32
813,20180901,20,36,45180,14
814,20180901,20,36,45190,14
815,20180901,20,36,45210,14
816,20180901,20,36,45710,12
817,20180901,20,36,46130,22
818,20180901,20,36,46710,4
819,20180901,20,36,46810,7
820,20180901,20,36,47130,19
821,20180901,20,36,47290,25
822,20180901,20,36,47730,6
823,20180901,20,36,48270,4
824,20180901,20,36,48330,13
825,20180901,21,36,11140,19
826,20180901,21,36,11200,26
827,20180901,21,36,11290,38
828,20180901,21,36,11440,37
829,20180901,21,36,11500,48
830,20180901,21,36,11545,20
831,20180901,21,36,11590,44
832,20180901,21,36,11620,45
833,20180901,21,36,26290,14
834,20180901,21,36,26410,10
835,20180901,21,36,26500,16
836,20180901,21,36,26530,9
837,20180901,21,36,27200,6
838,20180901,21,36,27710,13
839,20180901,21,36,28237,28
840,20180901,21,36,28260,25
841,20180901,21,36,29110,10
842,20180901,21,36,29140,27
843,20180901,21,36,29200,35
844,20180901,21,36,30200,417
845,20180901,21,36,30230,122
846,20180901,21,36,31200,7
847,20180901,21,36,41113,33
848,20180901,21,36,41131,10
849,20180901,21,36,41150,13
850,20180901,21,36,41271,18
851,20180901,21,36,41287,7
852,20180901,21,36,41461,14
853,20180901,21,36,41463,33
854,20180901,21,36,41465,17
855,20180901,21,36,41570,19
856,20180901,21,36,41610,14
857,20180901,21,36,41670,5
858,20180901,21,36,42110,6
859,20180901,21,36,43111,54
860,20180901,21,36,43730,17
861,20180901,21,36,44710,23
862,20180901,21,36,44770,13
863,20180901,21,36,44790,21
864,20180901,21,36,45130,22
865,20180901,21,36,45140,61
866,20180901,21,36,46110,22
867,20180901,21,36,46840,9
868,20180901,21,36,47150,26
869,20180901,21,36,48123,19
870,20180901,21,36,48125,4
871,20180901,21,36,48129,7
872,20180901,21,36,48170,11
873,20180901,21,36,50130,5
874,20180901,22,36,11170,14
875,20180901,22,36,11260,16
876,20180901,22,36,11320,12
877,20180901,22,36,11350,18
878,20180901,22,36,11560,37
879,20180901,22,36,11650,35
880,20180901,22,36,11740,23
881,20180901,22,36,26200,4
882,20180901,22,36,26380,8
883,20180901,22,36,27140,25
884,20180901,22,36,27170,7
885,20180901,22,36,28245,9
886,20180901,22,36,29170,25
887,20180901,22,36,30140,101
888,20180901,22,36,30170,237
889,20180901,22,36,31170,7
890,20180901,22,36,41117,28
891,20180901,22,36,41135,29
892,20180901,22,36,41173,23
893,20180901,22,36,41281,10
894,20180901,22,36,41285,7
895,20180901,22,36,41310,6
896,20180901,22,36,41370,9
897,20180901,22,36,41390,11
898,20180901,22,36,41430,5
899,20180901,22,36,41550,17
900,20180901,22,36,42150,4
901,20180901,22,36,43112,90
902,20180901,22,36,43130,12
903,20180901,22,36,43720,5
904,20180901,22,36,43745,6
905,20180901,22,36,44150,121
906,20180901,22,36,44180,15
907,20180901,22,36,44200,81
908,20180901,22,36,44760,14
909,20180901,22,36,44810,16
