,year,month,h_dng_cd,sector_code,living_ingu,revenue,customer_count,payment_count,saengwhal_population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,dong_name,upjong_name
3637,2017,5,36110250,2299,692900.2274199999,94024719.3254,578.395360106,611.4465235360001,1074636.61013,44622,41328,44465,조치원읍,유흥
3638,2017,5,36110250,2312,556706.1962,130511356.0722,677.5488503939998,826.2790859139999,1074636.61013,44622,41328,44465,조치원읍,유흥
3639,2017,5,36110250,2401,188986.72829,892381.4125780001,49.576745152,49.576745152,1074636.61013,44622,41328,44465,조치원읍,식생활
3640,2017,5,36110250,2402,1014656.1940999998,426560383.6481,11088.665331477998,11625.746737438001,1074636.61013,44622,41328,44465,조치원읍,식생활
3641,2017,5,36110250,2403,623429.0625900001,47425114.4103,264.409307462,280.934889172,1074636.61013,44622,41328,44465,조치원읍,식생활
3642,2017,5,36110250,2404,236326.81411,6792014.0849,82.627908582,82.627908582,1074636.61013,44622,41328,44465,조치원읍,식생활
3643,2017,5,36110250,2406,1014656.1940999998,284812359.18878,8469.360629478,8989.916453778002,1074636.61013,44622,41328,44465,조치원읍,식생활
3644,2017,5,36110250,2407,392730.78915,7097737.347200002,57.839536006,57.839536006,1074636.61013,44622,41328,44465,조치원읍,식생활
3645,2017,5,36110250,2499,981434.9489,28912744.631709997,2974.604708968,3106.809362478,1074636.61013,44622,41328,44465,조치원읍,식생활
3646,2017,5,36110250,3001,660458.3596600001,36025768.1423,256.146516616,264.4093074759999,1074636.61013,44622,41328,44465,조치원읍,내구재
3647,2017,5,36110250,3101,994365.59643,900657995.0282,2379.683767096,2429.260512096,1074636.61013,44622,41328,44465,조치원읍,내구재
3648,2017,5,36110250,3102,237392.5746,11688130.8081,57.83953601,57.83953601,1074636.61013,44622,41328,44465,조치원읍,내구재
3649,2017,5,36110250,3199,27359.70647,247883.7257,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,내구재
3650,2017,5,36110250,3201,441530.3346900001,9277461.57565,190.04418974200001,190.04418974200001,1074636.61013,44622,41328,44465,조치원읍,내구재
3651,2017,5,36110250,3202,42349.21548,289197.68,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,내구재
3652,2017,5,36110250,3203,909310.34884,71260621.94280002,2627.56749276,2784.5605191399995,1074636.61013,44622,41328,44465,조치원읍,내구재
3653,2017,5,36110250,3299,122468.88622,1392280.25955,33.051163435999996,33.051163435999996,1074636.61013,44622,41328,44465,조치원읍,내구재
3654,2017,5,36110250,3303,155773.59978999998,1528616.3086,33.051163431999996,33.051163431999996,1074636.61013,44622,41328,44465,조치원읍,주거생활
3655,2017,5,36110250,3401,909310.34884,112404302.1743,1677.3465442939998,1875.653524804,1074636.61013,44622,41328,44465,조치원읍,주거생활
3656,2017,5,36110250,3403,923111.79995,106771644.59357,2073.960505408,2363.15818526,1074636.61013,44622,41328,44465,조치원읍,주거생활
3657,2017,5,36110250,3405,537839.7879300001,26313514.395429995,190.044189734,190.044189734,1074636.61013,44622,41328,44465,조치원읍,주거생활
3658,2017,5,36110250,3406,600874.4144300001,73276608.65091999,1396.411655026,1512.0907270159998,1074636.61013,44622,41328,44465,조치원읍,유통
3659,2017,5,36110250,3408,35462.11581,99979.76938,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,주거생활
3660,2017,5,36110250,3499,282205.94464,2190465.85655,49.576745152,49.576745152,1074636.61013,44622,41328,44465,조치원읍,주거생활
3661,2017,5,36110250,4101,1074636.61013,2612751835.69,151894.88434810002,168337.83816020002,1074636.61013,44622,41328,44465,조치원읍,유통
3662,2017,5,36110250,4107,1074636.61013,2104075620.3548,41165.22405359,46709.55672029,1074636.61013,44622,41328,44465,조치원읍,유통
3663,2017,5,36110250,4108,943402.3976199998,163218356.67929998,6312.77221558,6676.3350135,1074636.61013,44622,41328,44465,조치원읍,유통
3664,2017,5,36110250,4110,1074636.61013,762804230.5444001,53129.74521856999,58112.20810447001,1074636.61013,44622,41328,44465,조치원읍,유통
3665,2017,5,36110250,4111,211570.87249,1355097.7008,41.31395429,41.31395429,1074636.61013,44622,41328,44465,조치원읍,유통
3666,2017,5,36110250,4112,1074636.61013,2199752547.1723,342806.6671185901,452106.86459289,1074636.61013,44622,41328,44465,조치원읍,유통
3667,2017,5,36110250,4113,1001287.4895700001,398312483.80882996,4214.023337642,4544.534971984001,1074636.61013,44622,41328,44465,조치원읍,유흥
3668,2017,5,36110250,4114,262519.08066,6725911.758200001,74.36511773000002,82.62790858,1074636.61013,44622,41328,44465,조치원읍,유통
3669,2017,5,36110250,4115,864954.9457099999,149845265.3859,2536.6767934639997,2272.267486014,1074636.61013,44622,41328,44465,조치원읍,유통
3670,2017,5,36110250,4199,250137.83261999997,4792418.6976,74.36511771800001,74.36511771800001,1074636.61013,44622,41328,44465,조치원읍,유통
3671,2017,5,36110250,4200,706523.6070300001,28390949.3876,239.62093489,239.62093489,1074636.61013,44622,41328,44465,조치원읍,유통
3672,2017,5,36110250,5103,871787.5039700001,132310605.53592,3015.9186631419993,3082.0209900639998,1074636.61013,44622,41328,44465,조치원읍,여행
3673,2017,5,36110250,5402,35462.11581,784965.1315,8.262790857999999,8.262790857999999,1074636.61013,44622,41328,44465,조치원읍,여행
