year,month,h_dng_cd,population
2017,5,36110530,377051.83826000005
2017,5,36110540,311894.526783
2017,5,36110550,524282.7745390001
2017,5,36110560,445307.19547399995
2017,6,36110250,1025499.1620200002
2017,6,36110310,244339.32632000002
2017,6,36110320,96683.1600535
2017,6,36110330,165305.303888
2017,6,36110340,130087.59290900003
2017,6,36110350,346095.10791400005
2017,6,36110360,237013.57298599998
2017,6,36110370,196632.744804
2017,6,36110380,64832.485385
2017,6,36110390,41898.14186839999
2017,6,36110510,674063.067631
2017,6,36110520,626421.7935279999
2017,6,36110530,408182.89100200013
2017,6,36110540,294474.1426620001
2017,6,36110550,515381.5086650001
2017,6,36110560,458699.66448099987
2017,7,36110250,872747.4313400002
2017,7,36110310,242522.73612899997
2017,7,36110320,98516.58681499997
2017,7,36110330,155038.965531
2017,7,36110340,126946.208113
2017,7,36110350,213895.98877400003
2017,7,36110360,232464.14366899998
2017,7,36110370,173752.724019
2017,7,36110380,61461.2609411
2017,7,36110390,38847.0383047
2017,7,36110510,744744.7988619999
2017,7,36110520,652465.3055670002
2017,7,36110530,400742.50688799995
2017,7,36110540,301647.58459100005
2017,7,36110550,499295.024727
2017,7,36110560,465996.11227600015
2017,8,36110250,854096.9419600002
2017,8,36110310,303326.089875
2017,8,36110320,97830.56520900001
2017,8,36110330,152738.58600900002
2017,8,36110340,122573.35120199999
2017,8,36110350,223869.472715
2017,8,36110360,234687.89270199998
2017,8,36110370,175604.09577900002
2017,8,36110380,63591.505535
2017,8,36110390,39865.6311145
2017,8,36110510,764191.880948
2017,8,36110520,654045.5324639999
2017,8,36110530,387071.3271460001
2017,8,36110540,284812.22759699996
2017,8,36110550,486556.132792
2017,8,36110560,460372.30054
2017,9,36110250,1000526.3667800003
2017,9,36110310,395397.25373700005
2017,9,36110320,111603.4489163
2017,9,36110330,161782.92583400002
2017,9,36110340,119654.92645900002
2017,9,36110350,301108.692567
2017,9,36110360,235171.64112700004
2017,9,36110370,177189.53542700002
2017,9,36110380,66613.0964078
2017,9,36110390,41234.528723899995
2017,9,36110510,730650.9272129999
2017,9,36110520,624153.0325420001
2017,9,36110530,371686.147871
2017,9,36110540,276384.800063
2017,9,36110550,467183.54408599995
2017,9,36110560,438495.1155180001
2017,10,36110250,993090.2341300001
2017,10,36110310,391234.296424
2017,10,36110320,116020.49582300002
2017,10,36110330,158170.60555500002
2017,10,36110340,131765.869872
2017,10,36110350,292636.75032600004
2017,10,36110360,236985.633943
2017,10,36110370,184712.13919400002
2017,10,36110380,70147.46475100002
2017,10,36110390,48981.3780116
2017,10,36110510,311329.406176
2017,10,36110515,465035.59495400003
2017,10,36110520,572733.370484
2017,10,36110530,396834.6714969999
2017,10,36110540,274120.26751700003
2017,10,36110550,436925.58529699995
2017,10,36110560,481769.736446
2017,11,36110250,1024481.7994599999
2017,11,36110310,398355.465145
2017,11,36110320,115208.167592
2017,11,36110330,159944.905503
2017,11,36110340,135379.766812
2017,11,36110350,331776.125973
2017,11,36110360,235568.73476700005
2017,11,36110370,184422.581743
2017,11,36110380,65801.34967400001
2017,11,36110390,44253.236786299996
2017,11,36110510,303066.93885700003
2017,11,36110515,494665.6738879999
2017,11,36110520,568544.202817
2017,11,36110530,399912.5967340001
2017,11,36110540,258763.873987
2017,11,36110550,442546.59364400007
2017,11,36110560,528887.0249229999
2017,12,36110250,980902.31091
2017,12,36110310,400838.47803699994
2017,12,36110320,109202.540832
2017,12,36110330,154462.22993499998
2017,12,36110340,123930.85613
2017,12,36110350,303837.106207
2017,12,36110360,225470.05095099998
2017,12,36110370,169890.24714800002
2017,12,36110380,60554.02082830001
2017,12,36110390,41489.031682400004
2017,12,36110510,308352.07839200005
2017,12,36110515,529457.449752
2017,12,36110520,578383.470039
2017,12,36110530,411195.962109
2017,12,36110540,272893.72332
2017,12,36110550,443688.58696799993
2017,12,36110560,541540.130998
2018,1,36110250,864707.6737999999
2018,1,36110310,384706.573131
2018,1,36110320,105630.13210199999
2018,1,36110330,156775.36879500002
2018,1,36110340,128138.114764
2018,1,36110350,186038.15653700003
2018,1,36110360,225888.41755100002
2018,1,36110370,176350.3536
